#﻿Frequency	Permitivity
100	69.080148
200	69.036538
300	69.016578
400	69.000471
500	68.984314
600	68.966807
700	68.947390
800	68.925787
900	68.901843
1000	68.875468
1100	68.846609
1200	68.815231
1300	68.781312
1400	68.744841
1500	68.705811
1600	68.664220
1700	68.620070
1800	68.573364
1900	68.524108
2000	68.472310
2100	68.417979
2200	68.361124
2300	68.301758
2400	68.239892
2500	68.175540
2600	68.108714
2700	68.039431
2800	67.967705
2900	67.893552
3000	67.816989
3100	67.738033
3200	67.656703
3300	67.573015
3400	67.486991
3500	67.398648
3600	67.308006
3700	67.215087
3800	67.119911
3900	67.022500
4000	66.922875
4100	66.821058
4200	66.717073
4300	66.610941
4400	66.502687
4500	66.392333
4600	66.279905
4700	66.165427
4800	66.048923
4900	65.930418
5000	65.809938
5100	65.687508
5200	65.563154
5300	65.436902
5400	65.308779
5500	65.178810
5600	65.047024
5700	64.913446
5800	64.778105
5900	64.641026
6000	64.502239
