#﻿Frequency	Conductivity
100	0.023233
200	0.025877
300	0.027870
400	0.029770
500	0.031718
600	0.033768
700	0.035943
800	0.038255
900	0.040709
1000	0.043304
1100	0.046042
1200	0.048919
1300	0.051935
1400	0.055085
1500	0.058368
1600	0.061779
1700	0.065317
1800	0.068977
1900	0.072756
2000	0.076652
2100	0.080661
2200	0.084780
2300	0.089006
2400	0.093336
2500	0.097768
2600	0.102298
2700	0.106924
2800	0.111643
2900	0.116452
3000	0.121350
3100	0.126332
3200	0.131398
3300	0.136544
3400	0.141768
3500	0.147069
3600	0.152443
3700	0.157888
3800	0.163404
3900	0.168986
4000	0.174634
4100	0.180345
4200	0.186118
4300	0.191950
4400	0.197840
4500	0.203786
4600	0.209786
4700	0.215839
4800	0.221942
4900	0.228095
5000	0.234295
5100	0.240542
5200	0.246832
5300	0.253166
5400	0.259542
5500	0.265957
5600	0.272411
5700	0.278903
5800	0.285431
5900	0.291993
6000	0.298589
