#Frequency	Permitivity
100	76.038435
200	65.291630
300	61.376010
400	59.277623
500	57.938642
600	56.992116
700	56.275670
800	55.705920
900	55.235470
1000	54.835309
1100	54.486652
1200	54.176782
1300	53.896772
1400	53.640172
1500	53.402199
1600	53.179235
1700	52.968493
1800	52.767789
1900	52.575392
2000	52.389912
2100	52.210222
2200	52.035397
2300	51.864675
2400	51.697421
2500	51.533107
2600	51.371283
2700	51.211574
2800	51.053658
2900	50.897261
3000	50.742150
3100	50.588123
3200	50.435009
3300	50.282657
3400	50.130942
3500	49.979751
3600	49.828989
3700	49.678575
3800	49.528437
3900	49.378513
4000	49.228753
4100	49.079111
4200	48.929549
4300	48.780034
4400	48.630540
4500	48.481043
4600	48.331526
4700	48.181973
4800	48.032372
4900	47.882714
5000	47.732993
5100	47.583204
5200	47.433345
5300	47.283415
5400	47.133414
5500	46.983346
5600	46.833214
5700	46.683021
5800	46.532774
5900	46.382479
6000	46.232142
