#﻿Frequency	Conductivity
100	0.064314
200	0.074082
300	0.082663
400	0.091338
500	0.100472
600	0.110201
700	0.120578
800	0.131617
900	0.143315
1000	0.155660
1100	0.168634
1200	0.182215
1300	0.196383
1400	0.211114
1500	0.226386
1600	0.242175
1700	0.258461
1800	0.275221
1900	0.292434
2000	0.310080
2100	0.328138
2200	0.346589
2300	0.365416
2400	0.384598
2500	0.404120
2600	0.423965
2700	0.444116
2800	0.464557
2900	0.485274
3000	0.506251
3100	0.527476
3200	0.548934
3300	0.570612
3400	0.592499
3500	0.614581
3600	0.636847
3700	0.659285
3800	0.681886
3900	0.704639
4000	0.727533
4100	0.750559
4200	0.773707
4300	0.796970
4400	0.820337
4500	0.843801
4600	0.867354
4700	0.890988
4800	0.914696
4900	0.938471
5000	0.962305
5100	0.986193
5200	1.010127
5300	1.034103
5400	1.058113
5500	1.082153
5600	1.106217
5700	1.130300
5800	1.154397
5900	1.178502
6000	1.202613
