#﻿Frequency	Conductivity
100	0.899713
200	0.939966
300	0.972044
400	1.003011
500	1.035035
600	1.069046
700	1.105510
800	1.144683
900	1.186708
1000	1.231663
1100	1.279590
1200	1.330504
1300	1.384405
1400	1.441280
1500	1.501108
1600	1.563865
1700	1.629518
1800	1.698036
1900	1.769380
2000	1.843514
2100	1.920398
2200	1.999992
2300	2.082255
2400	2.167144
2500	2.254617
2600	2.344632
2700	2.437146
2800	2.532115
2900	2.629497
3000	2.729248
3100	2.831325
3200	2.935686
3300	3.042287
3400	3.151085
3500	3.262037
3600	3.375102
3700	3.490237
3800	3.607400
3900	3.726548
4000	3.847641
4100	3.970637
4200	4.095495
4300	4.222174
4400	4.350635
4500	4.480836
4600	4.612739
4700	4.746303
4800	4.881491
4900	5.018262
5000	5.156579
5100	5.296404
5200	5.437699
5300	5.580427
5400	5.724552
5500	5.870036
5600	6.016844
5700	6.164940
5800	6.314289
5900	6.464856
6000	6.616607
