#﻿Frequency	Permitivity
100	80.140299
200	65.067805
300	60.021646
400	57.435435
500	55.832549
600	54.723624
700	53.898663
800	53.252198
900	52.725290
1000	52.282345
1100	51.900561
1200	51.564638
1300	51.263916
1400	50.990739
1500	50.739464
1600	50.505836
1700	50.286591
1800	50.079182
1900	49.881594
2000	49.692211
2100	49.509725
2200	49.333067
2300	49.161354
2400	48.993853
2500	48.829949
2600	48.669126
2700	48.510947
2800	48.355039
2900	48.201085
3000	48.048811
3100	47.897985
3200	47.748404
3300	47.599892
3400	47.452300
3500	47.305495
3600	47.159364
3700	47.013808
3800	46.868741
3900	46.724087
4000	46.579783
4100	46.435772
4200	46.292006
4300	46.148442
4400	46.005044
4500	45.861782
4600	45.718630
4700	45.575564
4800	45.432567
4900	45.289623
5000	45.146720
5100	45.003848
5200	44.860999
5300	44.718168
5400	44.575350
5500	44.432545
5600	44.289750
5700	44.146967
5800	44.004197
5900	43.861443
6000	43.718709
