#﻿Frequency	Conductivity
100	0.491231
200	0.582307
300	0.641421
400	0.688077
500	0.728413
600	0.765209
700	0.799975
800	0.833625
900	0.866759
1000	0.899792
1100	0.933023
1200	0.966673
1300	1.000912
1400	1.035873
1500	1.071661
1600	1.108358
1700	1.146034
1800	1.184743
1900	1.224532
2000	1.265438
2100	1.307491
2200	1.350718
2300	1.395139
2400	1.440772
2500	1.487629
2600	1.535723
2700	1.585062
2800	1.635651
2900	1.687495
3000	1.740597
3100	1.794957
3200	1.850576
3300	1.907452
3400	1.965582
3500	2.024963
3600	2.085589
3700	2.147457
3800	2.210558
3900	2.274887
4000	2.340436
4100	2.407196
4200	2.475158
4300	2.544313
4400	2.614652
4500	2.686163
4600	2.758836
4700	2.832660
4800	2.907622
4900	2.983712
5000	3.060915
5100	3.139221
5200	3.218615
5300	3.299085
5400	3.380617
5500	3.463197
5600	3.546810
5700	3.631444
5800	3.717082
5900	3.803711
6000	3.891316
