#﻿Frequency	Permitivity
100	87.241793
200	68.250995
300	61.300031
400	57.579158
500	55.209670
600	53.539793
700	52.281324
800	51.286309
900	50.470641
1000	49.782811
1100	49.189433
1200	48.667873
1300	48.202225
1400	47.780968
1500	47.395545
1600	47.039467
1700	46.707717
1800	46.396358
1900	46.102256
2000	45.822884
2100	45.556182
2200	45.300457
2300	45.054303
2400	44.816542
2500	44.586185
2600	44.362389
2700	44.144439
2800	43.931720
2900	43.723701
3000	43.519923
3100	43.319989
3200	43.123550
3300	42.930301
3400	42.739976
3500	42.552338
3600	42.367179
3700	42.184316
3800	42.003584
3900	41.824839
4000	41.647949
4100	41.472801
4200	41.299289
4300	41.127323
4400	40.956817
4500	40.787698
4600	40.619898
4700	40.453357
4800	40.288020
4900	40.123839
5000	39.960768
5100	39.798768
5200	39.637803
5300	39.477838
5400	39.318846
5500	39.160798
5600	39.003671
5700	38.847442
5800	38.692091
5900	38.537599
6000	38.383951
