#﻿Frequency	Conductivity
100	0.600280
200	0.626683
300	0.647831
400	0.668451
500	0.689967
600	0.712985
700	0.737803
800	0.764581
900	0.793406
1000	0.824326
1100	0.857362
1200	0.892520
1300	0.929794
1400	0.969174
1500	1.010643
1600	1.054179
1700	1.099760
1800	1.147361
1900	1.196954
2000	1.248512
2100	1.302007
2200	1.357409
2300	1.414689
2400	1.473817
2500	1.534762
2600	1.597494
2700	1.661982
2800	1.728197
2900	1.796107
3000	1.865681
3100	1.936890
3200	2.009702
3300	2.084088
3400	2.160017
3500	2.237459
3600	2.316384
3700	2.396762
3800	2.478563
3900	2.561759
4000	2.646319
4100	2.732216
4200	2.819419
4300	2.907900
4400	2.997631
4500	3.088585
4600	3.180731
4700	3.274044
4800	3.368496
4900	3.464059
5000	3.560707
5100	3.658412
5200	3.757150
5300	3.856892
5400	3.957614
5500	4.059290
5600	4.161895
5700	4.265404
5800	4.369792
5900	4.475034
6000	4.581107
