#﻿Frequency	Permitivity
100	88.903538
200	76.819812
300	72.733975
400	70.997680
500	70.090677
600	69.537563
700	69.157590
800	68.870972
900	68.638335
1000	68.438512
1100	68.259345
1200	68.093462
1300	67.936203
1400	67.784510
1500	67.636321
1600	67.490211
1700	67.345175
1800	67.200495
1900	67.055648
2000	66.910255
2100	66.764037
2200	66.616789
2300	66.468360
2400	66.318643
2500	66.167562
2600	66.015064
2700	65.861115
2800	65.705699
2900	65.548807
3000	65.390442
3100	65.230614
3200	65.069338
3300	64.906635
3400	64.742528
3500	64.577045
3600	64.410214
3700	64.242068
3800	64.072638
3900	63.901960
4000	63.730066
4100	63.556994
4200	63.382779
4300	63.207457
4400	63.031065
4500	62.853640
4600	62.675217
4700	62.495834
4800	62.315527
4900	62.134332
5000	61.952284
5100	61.769421
5200	61.585775
5300	61.401384
5400	61.216280
5500	61.030499
5600	60.844073
5700	60.657036
5800	60.469421
5900	60.281259
6000	60.092584
