#﻿Frequency	Permitivity
100	96.548600
200	76.709256
300	69.767304
400	66.141562
500	63.876219
600	62.305423
700	61.138365
800	60.227183
900	59.488498
1000	58.871611
1100	58.343870
1200	57.883273
1300	57.474439
1400	57.106286
1500	56.770625
1600	56.461271
1700	56.173466
1800	55.903494
1900	55.648404
2000	55.405831
2100	55.173855
2200	54.950901
2300	54.735670
2400	54.527076
2500	54.324212
2600	54.126310
2700	53.932719
2800	53.742882
2900	53.556323
3000	53.372632
3100	53.191455
3200	53.012485
3300	52.835454
3400	52.660131
3500	52.486313
3600	52.313821
3700	52.142501
3800	51.972215
3900	51.802844
4000	51.634282
4100	51.466438
4200	51.299229
4300	51.132584
4400	50.966441
4500	50.800744
4600	50.635446
4700	50.470505
4800	50.305883
4900	50.141550
5000	49.977479
5100	49.813645
5200	49.650028
5300	49.486613
5400	49.323384
5500	49.160331
5600	48.997443
5700	48.834714
5800	48.672138
5900	48.509712
6000	48.347432
