#﻿Frequency	Conductivity
100	0.680072
200	0.755762
300	0.810500
400	0.857842
500	0.902252
600	0.945772
700	0.989502
800	1.034096
900	1.079968
1000	1.127392
1100	1.176553
1200	1.227579
1300	1.280560
1400	1.335555
1500	1.392605
1600	1.451735
1700	1.512958
1800	1.576278
1900	1.641694
2000	1.709198
2100	1.778777
2200	1.850415
2300	1.924094
2400	1.999794
2500	2.077490
2600	2.157158
2700	2.238772
2800	2.322306
2900	2.407731
3000	2.495018
3100	2.584138
3200	2.675060
3300	2.767756
3400	2.862193
3500	2.958341
3600	3.056169
3700	3.155645
3800	3.256739
3900	3.359417
4000	3.463650
4100	3.569405
4200	3.676651
4300	3.785356
4400	3.895490
4500	4.007021
4600	4.119918
4700	4.234151
4800	4.349688
4900	4.466499
5000	4.584553
5100	4.703822
5200	4.824274
5300	4.945881
5400	5.068613
5500	5.192440
5600	5.317334
5700	5.443267
5800	5.570210
5900	5.698136
6000	5.827016
