#﻿Frequency	Permitivity
100	75.595922
200	67.610480
300	64.836842
400	63.378197
500	62.452654
600	61.796579
700	61.295610
800	60.891915
900	60.553031
1000	60.259303
1100	59.998123
1200	59.761028
1300	59.542129
1400	59.337200
1500	59.143134
1600	58.957598
1700	58.778807
1800	58.605376
1900	58.436215
2000	58.270456
2100	58.107404
2200	57.946492
2300	57.787260
2400	57.629330
2500	57.472389
2600	57.316177
2700	57.160481
2800	57.005119
2900	56.849944
3000	56.694829
3100	56.539670
3200	56.384381
3300	56.228891
3400	56.073139
3500	55.917077
3600	55.760666
3700	55.603874
3800	55.446676
3900	55.289055
4000	55.130996
4100	54.972489
4200	54.813530
4300	54.654117
4400	54.494250
4500	54.333932
4600	54.173170
4700	54.011970
4800	53.850343
4900	53.688298
5000	53.525847
5100	53.363004
5200	53.199782
5300	53.036197
5400	52.872263
5500	52.707996
5600	52.543414
5700	52.378533
5800	52.213369
5900	52.047942
6000	51.882268
