#﻿Frequency	Permitivity
100	12.701818
200	11.974260
300	11.745039
400	11.622735
500	11.540098
600	11.476418
700	11.423242
800	11.376483
900	11.333923
1000	11.294254
1100	11.256656
1200	11.220590
1300	11.185686
1400	11.151683
1500	11.118391
1600	11.085671
1700	11.053416
1800	11.021547
1900	10.990000
2000	10.958725
2100	10.927685
2200	10.896849
2300	10.866190
2400	10.835691
2500	10.805334
2600	10.775106
2700	10.744997
2800	10.714999
2900	10.685105
3000	10.655308
3100	10.625606
3200	10.595994
3300	10.566469
3400	10.537030
3500	10.507676
3600	10.478404
3700	10.449215
3800	10.420108
3900	10.391083
4000	10.362140
4100	10.333279
4200	10.304501
4300	10.275806
4400	10.247195
4500	10.218668
4600	10.190227
4700	10.161872
4800	10.133604
4900	10.105425
5000	10.077334
5100	10.049333
5200	10.021422
5300	9.993604
5400	9.965878
5500	9.938245
5600	9.910707
5700	9.883264
5800	9.855917
5900	9.828667
6000	9.801515
